ID,Biển số,Mã riêng
608165,29H92376,29H92376
519213,29G01886_C,29G01886
512721,61H04259_C,61H04259
633017,29E15058_C,29E15058
487452,29H76446_C,29H76446_C
489205,29H76466_C,29H76466_C
487423,29H76494_C,29H76494_C
487353,29H76485_C,29H76485_C
487022,29H76498_C,29H76498_C
629260,29E36317_C,29E36317
630573,17C18893,17C18893
599593,29H30945,29H30945
632135,29E40062,29E40062
631180,29H76113,29H76113
606315,29K07776,29K07776
630593,29K09048,29K09048
598940,60H10916,60H10916
598938,60H19453,60H19453
628426,60H30094,60H30094
631680,60H32910,60H32910
487994,29H40005,29H40005
600641,29K17698,29K17698
608255,29H41956,29H41956
485798,29H76366_C,29H76366_C
471248,29H76134_C,29H76134_C
471251,29H76172_C,29H76172_C
471247,29H76191_C,29H76191_C
471246,29H76198_C,29H76198_C
471244,29H76201_C,29H76201_C
471245,29H76112_C,29H76112_C
476945,29LD31574_C,29LD31574_C
633098,29E15460_C,29E15460
633109,29E15073_C,29E15073
631269,29H76033,29H76033
630779,29H76120,29H76120
476976,29LD31491_C,29LD31491_C
630594,29K09053,29K09053
630765,29E37717,29E37717
624901,29B41080,29B41080
624897,29B41100,29B41100
624896,29H22371,29H22371
619681,29H42486,29H42486
598939,60H08392,60H08392
487341,29H76370_C,29H76370_C
629249,29E37455_C,29E37455
533114,29H84302_C,29H84302
595729,29LD50118_C,29LD50118
560135,50H10294_C,50H10294
479136,29LD31250_C,29LD31250_C
479096,29LD31569_C,29LD31569_C
479069,29LD31627_C,29LD31627_C
608375,29K08853,29K08853
630832,29E37877,29E37877
631502,29E37891,29E37891
632893,29H73817,29H73817
631616,29H76056,29H76056
632858,29H76086,29H76086
631636,29H76104,29H76104
631974,29H76106,29H76106
631276,29H76118,29H76118
603695,29K06282,29K06282
603701,29K06667,29K06667
618149,60H22070,60H22070
630865,29E37332,29E37332
630785,29H76012,29H76012